channel,rise_fall,sharp_flat,fingering/chord,lyrics,ipad_color(105),ipad_rows,ipad_col(107),length(109),height(110),flip_view,Bar No(40),Beats per Bar(40),tempo (40),Z-level,Content,
0,,,,,,,80,,,3.2,,,,1,,
1,,,,,,1325,85,55,25,1/1/1900,0,0,0,2,,
1,,#,230,230,230,925,145,55,25,1,255,71,71,2,,
1,,,,,,1225,145,55,25,1,17,17,255,2,,
1,,,,,,875,207,55,25,1,17,17,255,2,,
1,,,,,,1150,207,55,25,1,0,0,0,2,,
1,,,,,,800,267,55,25,1,0,0,0,2,,
1,,#,230,230,230,1100,267,55,25,1,255,71,71,2,,
1,,#,230,230,230,750,330,55,25,1/1/1900,255,71,71,2,,
1,,,,,,1050,330,55,25,1,17,17,255,2,,
1,,,,,,700,390,55,25,1/1/1900,17,17,255,2,,
1,,,,,,975,390,55,25,1/1/1900,0,0,0,2,,
1,,,,,,625,452,55,25,1,0,0,0,2,,
1,,#,230,230,230,925,452,55,25,1,255,71,71,2,,
0,,,,,,,80,,,,,,,1,,
1,,,,,,1325,576,55,25,1/1/1900,0,0,0,2,,
1,,#,230,230,230,925,636,55,25,1,255,71,71,2,,
1,,,,,,1225,636,55,25,1,17,17,255,2,,
1,,,,,,875,698,55,25,1,17,17,255,2,,
1,,,,,,1150,698,55,25,1,0,0,0,2,,
1,,,,,,800,758,55,25,1,0,0,0,2,,
1,,#,230,230,230,1100,758,55,25,1,255,71,71,2,,
1,,#,230,230,230,750,821,55,25,1,255,71,71,2,,
1,,,,,,1050,821,55,25,1,17,17,255,2,,
1,,,,,,700,881,55,25,1/1/1900,17,17,255,2,,
1,,,,,,975,881,55,25,1,0,0,0,2,,
1,,,,,,625,943,55,25,1,0,0,0,2,,
1,,#,230,230,230,925,943,55,25,1,255,71,71,2,,
0,,,,,,,80,,,,,,,1,,
1,,,,,,1325,1067,55,25,1,0,0,0,2,,
1,,#,230,230,230,925,1127,55,25,1,255,71,71,2,,
1,,,,,,1225,1127,55,25,1,17,17,255,2,,
1,,,,,,875,1189,55,25,1,17,17,255,2,,
