channel,rise_fall,sharp_flat,fingering/chord,lyrics,ipad_color(105),ipad_rows,ipad_col(107),length(109),height(110),flip_view,Bar No(40),Beats per Bar(40),tempo (40),Z-level,Content
0,,,,,,,80,,,3.1,,,,1,
0,,,,,,,80,,,,,,,1,
0,,,,,,,80,,,,,,,1,
1,,#,230,230,230,575,1067,300,25,1,255,71,71,2,
1,,,,,,625,1372,55,25,1,0,0,0,2,
110,,,,,,700,1434,35,25,1,17,17,255,2,
110,,,,,,625,1474,35,25,1,0,0,0,2,
110,,#,230,230,230,575,1514,35,25,1,255,71,71,2,
0,,,,,,,80,,,,,,,1,
1,,,,,,500,1558,237,25,1,45,255,45,2,
1,,#,0,0,0,475,1803,115,25,1,178,125,255,2,
1,,,,,,450,1925,115,25,1,0,0,0,2,
0,,,,,,,80,,,,,,,1,
1,,,,,,625,2049,177,25,1,0,0,0,2,
1,,,,,,600,2231,55,25,1,255,255,80,2,
106,,#,,,,575,2294,19,25,1,255,71,71,2,
106,,,,,,550,2318,19,25,1,255,130,5,2,
106,,#,,,,575,2342,19,25,1,255,71,71,2,
106,,,,,,600,2366,19,25,1,255,255,80,2,
106,,#,230,230,230,575,2390,19,25,1,255,71,71,2,
1,,,,,,525,2416,55,25,1,17,17,255,2,
1,,,,,,700,2476,55,25,1,17,17,255,2,
0,,,,,,,80,,,,,,,1,
1,,,,,,675,2540,360,25,1,45,255,45,2,
1,,#,0,0,0,650,2907,55,25,1,178,125,255,2,
1,,,,,,625,2967,55,25,1,0,0,0,2,
0,,,,,,,80,,,,,,,1,
1,,#,230,230,230,575,3031,55,25,1,255,71,71,2,
1,,,,,,600,3091,55,25,1,255,255,80,2,
1,,,,,,550,3153,238,25,1,255,130,5,2,
1,,#,0,255,255,625,3398,55,25,1,0,0,0,2,
1,,,,,,600,3458,55,25,1,255,255,80,2,
0,,,,,,,80,,,,,,,1,
1,,#,230,230,230,575,3522,55,25,1,255,71,71,2,
1,,,,,,550,3582,55,25,1,255,130,5,2,
1,,,,,,525,3644,55,25,1,17,17,255,2,
1,,,,,,500,3704,55,25,1,45,255,45,2,
1,,,,,,500,3767,115,25,1,45,255,45,2,
