channel,rise_fall,sharp_flat,fingering/chord,lyrics,ipad_color(105),ipad_rows,ipad_col(107),length(109),height(110),flip_view,Bar No(40),Beats per Bar(40),tempo (40),Z-level,Content
0,,,,,,,80,,,3.5.1,,,,1,
0,,,,,,,80,,,,,,,1,
0,,,,,,,80,,,,,,,1,
0,,,,,,,80,,,,,,,1,
0,,,,,,,80,,,,,,,1,
1,,,,,,889,2049,482,25,1,17,17,255,2,
1,,,,,,989,2049,482,25,1,0,0,0,2,
1,,,,,,639,2049,25,25,1,0,0,0,2,
1,,#,230,230,230,589,2079,25,25,1,255,2,2,2,
1,,,,,,539,2109,25,25,1,17,17,255,2,
1,,#,230,230,230,589,2139,25,25,1,255,2,2,2,
1,,,,,,639,2171,25,25,1,0,0,0,2,
1,,#,230,230,230,589,2201,25,25,1,255,2,2,2,
1,,,,,,539,2231,25,25,1,17,17,255,2,
1,,#,230,230,230,589,2261,25,25,1,255,2,2,2,
1,,,,,,639,2294,25,25,1,0,0,0,2,
1,,#,230,230,230,589,2324,25,25,1,255,2,2,2,
1,,,,,,539,2354,25,25,1,17,17,255,2,
1,,#,230,230,230,589,2384,25,25,1,255,2,2,2,
1,,,,,,639,2416,25,25,1,0,0,0,2,
1,,#,230,230,230,589,2446,25,25,1,255,2,2,2,
1,,,,,,539,2476,25,25,1,17,17,255,2,
1,,#,230,230,230,589,2506,25,25,1,255,2,2,2,
0,,,,,,,80,,,,,,,1,
1,,,,,,889,2540,482,25,1,17,17,255,2,
1,,#,0,0,0,1014,2540,482,25,1,178,125,255,2,
1,,#,0,0,0,664,2540,25,25,1,178,125,255,2,
1,,#,230,230,230,589,2570,25,25,1,255,2,2,2,
1,,,,,,539,2600,25,25,1,17,17,255,2,
1,,#,230,230,230,589,2630,25,25,1,255,2,2,2,
1,,#,0,0,0,664,2662,25,25,1,178,125,255,2,
1,,#,230,230,230,589,2692,25,25,1,255,2,2,2,
1,,,,,,539,2722,25,25,1,17,17,255,2,
1,,#,230,230,230,589,2752,25,25,1,255,2,2,2,
1,,#,0,0,0,664,2785,25,25,1,178,125,255,2,
1,,#,230,230,230,589,2815,25,25,1,255,2,2,2,
1,,,,,,539,2845,25,25,1,17,17,255,2,
1,,#,230,230,230,589,2875,25,25,1,255,2,2,2,
1,,#,0,0,0,664,2907,25,25,1,178,125,255,2,
1,,#,230,230,230,589,2937,25,25,1,255,2,2,2,
1,,,,,,539,2967,25,25,1,17,17,255,2,
1,,#,230,230,230,589,2997,25,25,1,255,2,2,2,
0,,,,,,,80,,,,,,,1,
1,,#,230,230,230,939,3031,482,25,1,255,2,2,2,
1,,#,0,0,0,1039,3031,482,25,1,45,255,45,2,
1,,#,0,0,0,689,3031,25,25,1,45,255,45,2,
1,,#,230,230,230,589,3061,25,25,1,255,2,2,2,
1,,#,0,0,0,514,3091,25,25,1,45,255,45,2,
1,,#,230,230,230,589,3121,25,25,1,255,2,2,2,
1,,#,0,0,0,689,3153,25,25,1,45,255,45,2,
1,,#,230,230,230,589,3183,25,25,1,255,2,2,2,
1,,#,0,0,0,514,3213,25,25,1,45,255,45,2,
